Node,X,Y,Year5,Year10
0,189,167,0,0
1,44,83,51,59
2,104,100,77,104
3,64,75,44,72
4,161,31,0,0
5,105,121,44,66
6,104,72,69,97
7,33,194,45,53
8,171,145,81,105
9,129,49,62,86
10,190,183,89,134
11,146,120,93,129
12,177,43,69,94
13,75,16,37,55
14,146,18,41,60
15,5,35,0,0
16,98,84,87,125
17,154,164,46,76
18,155,43,35,42
19,18,192,30,47
20,9,184,79,112
21,137,165,43,61
22,192,110,34,51
23,74,34,40,56
24,130,20,38,57
25,124,194,80,120
26,99,15,31,46
27,48,185,85,117
28,62,43,41,59
29,136,148,36,48
30,79,113,40,56
31,100,32,72,97
32,30,65,56,76
33,60,127,50,71
34,6,56,36,63
35,63,14,84,122
36,29,125,50,73
37,35,178,0,0
38,137,33,75,108
39,94,166,45,68
40,138,183,34,51
41,88,151,42,54
42,52,38,38,53
43,188,117,34,42
44,58,53,46,74
45,171,195,32,46
46,92,7,80,105
47,59,32,39,53
48,35,87,41,58
49,81,6,38,49
